Image_Dataset,Model,Epochs,Test_Loss,Test_Acuracia,Test_Precisao,Test_Recall,Test_F1-Score,Test_ROC-AUC,Best_Acc_Train,Best_Epoch_Acc,Num_Samples,Dropout,Resolution,Normalization
TEST-GASF-CSIC-2010,DeiT-Tiny,30,0.31599329664632936,0.8340370250081195,0.8707223641563752,0.8047983812585063,0.8261137568121588,0.9217725074566357,0.8299047206582937,5,70000,0.35,42,Yes
TEST-GADF-CSIC-2010,DeiT-Tiny,30,0.3277349247239453,0.8274331492908953,0.8572861588981899,0.799565126111256,0.8199934658959347,0.9139881900404443,0.8239497618016457,6,70000,0.35,42,Yes
TEST-RPLOT-CSIC-2010,DeiT-Tiny,30,0.336335694398022,0.818447547905164,0.820361176014945,0.8030066168592361,0.8159292768228402,0.9135308255871195,0.8175617150281507,9,70000,0.35,42,Yes
TEST-SEQ-CSIC-2010,DeiT-Tiny,30,0.3549005722298342,0.8013424271949767,0.8517988733644073,0.7651429791793357,0.7878705921050887,0.9072370630990647,0.7967734950194889,4,70000,0.35,42,Yes
