Image_Dataset,Model,Epochs,Test_Loss,Test_Acuracia,Test_Precisao,Test_Recall,Test_F1-Score,Test_ROC-AUC,Best_Acc_Train,Best_Epoch_Acc,Num_Samples,Dropout,Resolution,Data Normalization
144-TEST-RGB-Combined0-notf,CustomCNN,30,0.26149013816996336,0.9021788925156045,0.9030779729535323,0.9019148883068662,0.9021082579453974,0.9620349259638483,0.9032239592280822,9,460000,0.35,42,Yes
144-TEST-MKF-Combined0-notf,CustomCNN,30,0.2559797671246818,0.9020929966214282,0.9029055034945703,0.9018422304876434,0.9020283441286381,0.9623431854815284,0.9017780450094486,7,460000,0.35,42,Yes
144-TEST-MKF0-notf,CustomCNN,30,0.2884383775819429,0.8857584607455764,0.886767406949349,0.8854682442990407,0.8856624185489906,0.9507638298982867,0.8860018324457424,4,460000,0.35,42,Yes
144-TEST-GASF0-notf,CustomCNN,30,0.27855691596681353,0.9049418771116075,0.9051559944933119,0.9048155413122319,0.9049219012753255,0.9626901360381521,0.905901047929909,25,460000,0.35,42,Yes
144-TEST-GADF0-notf,CustomCNN,30,0.283757613271311,0.9039970222756686,0.9041078423198078,0.9039053401553968,0.9039849928260636,0.9624475688868162,0.9051709328294107,11,460000,0.35,42,Yes
144-TEST-RPLOT0-notf,CustomCNN,30,0.25989081460745356,0.9041401820992957,0.9043941797525428,0.9040021456431717,0.9041169410769258,0.9629298454311441,0.9044121857641871,21,460000,0.35,42,Yes
