Image_Dataset,Model,Epochs,Test_Loss,Test_Acuracia,Test_Precisao,Test_Recall,Test_F1-Score,Test_ROC-AUC,Best_Acc_Train,Best_Epoch_Acc,Num_Samples,Dropout,Resolution,Data Normalization
144-TEST-GASF0-notf-CSIC-2010,ResNet50,30,0.3013251828977187,0.8452960918046984,0.8866855242915984,0.8158989951640461,0.8376782451080291,0.9251297792449734,0.8406236466002599,10,70000,0.35,42,Yes
144-TEST-GADF0-notf-CSIC-2010,ResNet50,30,0.2973049568031692,0.8511421457183068,0.8894441519201048,0.8231243303506791,0.8443554613841078,0.9282098282801957,0.847444781290602,30,70000,0.35,42,Yes
144-TEST-RPLOT0-notf-CSIC-2010,ResNet50,30,0.2973773143283224,0.8543899534480892,0.8880882822576113,0.8279765731329454,0.8483862076272791,0.9303556984140775,0.8480944131658726,30,70000,0.35,42,Yes
144-TEST-SEQ0-notf-CSIC-2010,ResNet50,30,0.29727755395444205,0.8513586662336257,0.8836389167406533,0.8250822401760635,0.845324318292341,0.9285477417735691,0.8459289735816371,25,70000,0.35,42,Yes
