Image_Dataset,Model,Epochs,Test_Loss,Test_Acuracia,Test_Precisao,Test_Recall,Test_F1-Score,Test_ROC-AUC,Best_Acc_Train,Best_Epoch_Acc,Num_Samples,Dropout,Resolution,Data Normalization
144-TEST-RGB0-notf,HybriDet,20,0.2566180072257238,0.8995733837255913,0.8999019209280594,0.8994140336850301,0.8995427393564513,0.9602378358415385,0.9004037107026284,18,460000,0.35,42,Yes
144-TEST-MKF0-notf,HybriDet,20,0.29453698625558566,0.8824944167668786,0.8841488540662534,0.8821199599961387,0.882339003465829,0.948130128253702,0.8833820076733665,8,460000,0.35,42,Yes
