Image_Dataset,Model,Epochs,Test_Loss,Test_Acuracia,Test_Precisao,Test_Recall,Test_F1-Score,Test_ROC-AUC,Best_Acc_Train,Best_Epoch_Acc,Num_Samples,Dropout,Resolution,Normalization
TEST-GASF-CSIC-2010,EfficientViT-B0,30,0.3007566211003952,0.8460539136083144,0.8903995198143944,0.8159813801291518,0.8381382480639951,0.9250113418083186,0.8406236466002599,12,70000,0.35,42,Yes
TEST-GADF-CSIC-2010,EfficientViT-B0,30,0.29884077702684386,0.8486521597921403,0.8923327640440261,0.8189956708076334,0.8410313153181053,0.9262927730962653,0.8414898224339541,21,70000,0.35,42,Yes
TEST-RPLOT-CSIC-2010,EfficientViT-B0,30,0.304259281463689,0.8434556674244885,0.8909665272694456,0.8123636087220919,0.8349334567968755,0.9241426799486481,0.8401905586834127,9,70000,0.35,42,Yes
TEST-SEQ-CSIC-2010,EfficientViT-B0,30,0.2938817002807315,0.8514669264912851,0.8885398518047692,0.8238170011293545,0.8448518492547753,0.9301712130425969,0.8482026851450845,30,70000,0.35,42,Yes
TEST-GASF-CSIC-2010,EfficientViT-B0,30,0.1216373384404476,0.9655996758508915,0.9710759269099906,0.9416300731869595,0.9650452325236721,0.9632826430472388,0.9653565640194489,24,70000,0.35,42,Yes
TEST-GADF-CSIC-2010,EfficientViT-B0,30,0.14412667554497177,0.9608184764991896,0.9686755564976306,0.9321387225548903,0.9600249106083479,0.9480820567198934,0.959643435980551,18,70000,0.35,42,Yes
