Image_Dataset,Model,Epochs,Test_Loss,Test_Acuracia,Test_Precisao,Test_Recall,Test_F1-Score,Test_ROC-AUC,Best_Acc_Train,Best_Epoch_Acc,Num_Samples,Dropout,Resolution,Data Normalization
144-TEST-GASF0-notf-CSIC-2010,Swin-Tiny,30,0.30310920957205206,0.8526577893255386,0.8877947402552471,0.8256653056496684,0.8463614926276289,0.9293805924767614,0.8459289735816371,29,70000,0.35,42,Yes
144-TEST-GADF0-notf-CSIC-2010,Swin-Tiny,30,0.30032180712451984,0.8529825700985169,0.8909625730810937,0.8252264500622593,0.8463698730107394,0.9269783250803576,0.8487440450411433,25,70000,0.35,42,Yes
144-TEST-RPLOT0-notf-CSIC-2010,Swin-Tiny,30,0.30106242568228897,0.8544982137057486,0.8762672713267263,0.8320295080068341,0.8500079374092395,0.9310107240417379,0.8521004763967085,27,70000,0.35,42,Yes
144-TEST-SEQ0-notf-CSIC-2010,Swin-Tiny,30,0.3006676892817639,0.8504925841723503,0.8812309753272576,0.8246055222540758,0.8445952157555324,0.9295054247627872,0.8461455175400606,28,70000,0.35,42,Yes
TEST-GASF-CSIC-2010,Swin-Tiny,30,0.682608317338884,0.5846053913608315,0.2923026956804157,0.5,0.43135466466468403,0.5,0.5846686877436119,1,70000,0.35,42,Yes
TEST-GADF-CSIC-2010,Swin-Tiny,30,0.6799519152789792,0.5846053913608315,0.2923026956804157,0.5,0.43135466466468403,0.4963513161323951,0.5846686877436119,1,70000,0.35,42,Yes
TEST-RPLOT-CSIC-2010,Swin-Tiny,30,0.6791109395274654,0.5846053913608315,0.2923026956804157,0.5,0.43135466466468403,0.5,0.5846686877436119,1,70000,0.35,42,Yes
TEST-SEQ-CSIC-2010,Swin-Tiny,30,0.6828473893003892,0.5846053913608315,0.2923026956804157,0.5,0.43135466466468403,0.5,0.5846686877436119,1,70000,0.35,42,Yes
